[NDB]
100	MIA N033.53.29.790 W106.21.00.280
100	MIA N034.57.04.160 W106.18.41.570
100	MIA N035.53.28.330 W105.00.30.000
100	MIA N034.45.12.960 W108.37.10.710
100	MIA N035.48.34.250 W107.48.16.060
100	MIA N035.37.49.660 W109.16.19.020
100	MIA N034.45.19.420 W107.39.35.930
100	MIA N035.57.20.960 W107.13.02.240
100	MIA N032.18.52.710 W110.40.46.890
100	MIA N032.33.26.530 W110.49.05.250
100	MIA N034.41.09.420 W112.13.42.580
100	MIA N033.13.31.940 W109.23.43.330
100	MIA N032.12.26.670 W106.32.17.150
100	MIA N034.24.57.010 W111.02.34.820
100	MIA N034.24.19.180 W111.22.12.030
100	MIA N033.19.26.330 W110.51.04.620
100	MIA N036.36.20.780 W104.33.23.780
100	MIA N036.53.28.510 W103.54.17.380
100	MIA N033.11.50.730 W105.25.35.470
100	MIA N032.38.36.450 W105.56.29.970
100	MIA N032.40.19.060 W107.47.02.470
100	MIA N032.47.12.340 W108.23.53.210
100	MIA N035.22.30.800 W105.37.30.010
100	MIA N034.20.42.630 W112.23.54.090
100	MIA N036.31.47.420 W107.29.54.920
100	MIA N036.04.13.360 W110.30.08.490
100	MIA N036.03.15.920 W108.35.52.710
100	MIA N032.58.44.740 W106.38.57.660
100	MIA N033.53.29.790 W106.21.00.280
100	MIA N034.57.04.160 W106.18.41.570
100	MIA N035.53.28.330 W105.00.30.000
100	MIA N034.45.12.960 W108.37.10.710
100	MIA N035.48.34.250 W107.48.16.060
100	MIA N035.37.49.660 W109.16.19.020
100	MIA N034.45.19.420 W107.39.35.930
100	MIA N035.57.20.960 W107.13.02.240
100	MIA N032.18.52.710 W110.40.46.890
100	MIA N032.33.26.530 W110.49.05.250
100	MIA N034.41.09.420 W112.13.42.580
100	MIA N033.13.31.940 W109.23.43.330
100	MIA N032.12.26.670 W106.32.17.150
100	MIA N034.24.57.010 W111.02.34.820
100	MIA N034.24.19.180 W111.22.12.030
100	MIA N033.19.26.330 W110.51.04.620
100	MIA N036.36.20.780 W104.33.23.780
100	MIA N036.53.28.510 W103.54.17.380
100	MIA N033.11.50.730 W105.25.35.470
100	MIA N032.38.36.450 W105.56.29.970
100	MIA N032.40.19.060 W107.47.02.470
100	MIA N032.47.12.340 W108.23.53.210
100	MIA N035.22.30.800 W105.37.30.010
100	MIA N034.20.42.630 W112.23.54.090
100	MIA N036.31.47.420 W107.29.54.920
100	MIA N036.04.13.360 W110.30.08.490
100	MIA N036.03.15.920 W108.35.52.710
101	MIA N033.10.47.910 W106.43.41.660
101	MIA N035.21.21.120 W108.40.04.810
101	MIA N036.15.48.260 W109.49.48.220
101	MIA N033.10.47.910 W106.43.41.660
101	MIA N035.21.21.120 W108.40.04.810
101	MIA N036.15.48.260 W109.49.48.220
101	MIA N033.10.47.910 W106.43.41.660
101	MIA N035.21.21.120 W108.40.04.810
101	MIA N036.15.48.260 W109.49.48.220
101	MIA N033.10.47.910 W106.43.41.660
101	MIA N035.21.21.120 W108.40.04.810
101	MIA N036.15.48.260 W109.49.48.220
101	MIA N033.10.47.910 W106.43.41.660
101	MIA N035.21.21.120 W108.40.04.810
101	MIA N036.15.48.260 W109.49.48.220
101	MIA N033.10.47.910 W106.43.41.660
101	MIA N035.21.21.120 W108.40.04.810
101	MIA N036.15.48.260 W109.49.48.220
101	MIA N033.10.47.910 W106.43.41.660
101	MIA N035.21.21.120 W108.40.04.810
101	MIA N036.15.48.260 W109.49.48.220
101	MIA N033.10.47.910 W106.43.41.660
101	MIA N035.21.21.120 W108.40.04.810
101	MIA N036.15.48.260 W109.49.48.220
101	MIA N033.10.47.910 W106.43.41.660
101	MIA N035.21.21.120 W108.40.04.810
